石家庄
,,110102,风景名胜公园广场动物园,石家庄市动物园,向阳南大街
,,110202,风景名胜风景名胜国家级景点,抱犊寨风景区,太平河北路与观景大街交叉口
,,110200,风景名胜风景名胜风景名胜,联邦·空中花园,翟营南大街386号
,,060101,购物服务商场购物中心,勒泰中心,中山东路39号
,,060102,购物服务商场普通商场,北国商城建设南大街,中山东路188号
,,060101,购物服务商场购物中心,品汇广场,中山西路81号
,,110101,风景名胜公园广场公园,世纪公园,体育南大街267号
,,110203,风景名胜风景名胜省级景点,水上公园,联盟路500号
,,100103,住宿服务宾馆酒店四星级宾馆,西美·商务酒店,建设南大街6号
,,100103,住宿服务宾馆酒店四星级宾馆,燕山大酒店,裕华西路40号
,,100103,住宿服务宾馆酒店四星级宾馆,招考大厦,红旗大街299号
,,100103,住宿服务宾馆酒店四星级宾馆,亚太大酒店,青园街215号青园街与槐中路交汇处
,,100102,住宿服务宾馆酒店五星级宾馆,石家庄希尔顿酒店,东大街5号
,,060101,购物服务商场购物中心,中储广场,中华北大街与聚新街交叉口西北150米
,,100103,住宿服务宾馆酒店四星级宾馆,汇文大酒店,站前街6号
,,100103,住宿服务宾馆酒店四星级宾馆,星程酒店石家庄火车东站店,黄河大道141号
,,080601,体育休闲服务影剧院电影院,金太狼国际影城永辉超市店,槐安东路153号永辉超市3层
,,080601,体育休闲服务影剧院电影院,万达影城,建华南大街136号万达广场娱乐楼3层
,,110103,风景名胜公园广场植物园,石家庄植物园,植物园街60号
,,060300,购物服务家电电子卖场家电电子卖场|购物服务超级市场超市|购物服务商场商场,北国超市先天下店,中山东路326号北国先天下购物广场B1层
沈阳
,,110202,风景名胜风景名胜国家级景点,沈阳故宫,沈阳路171号
,,110202,风景名胜风景名胜国家级景点,沈阳世博园,双园路301号
,,110202,风景名胜风景名胜国家级景点,沈阳森林动物园,棋盘山国际风景旅游区内
,,110105,风景名胜公园广场城市广场,沈阳北站北广场,昆山东路
,,110202,风景名胜风景名胜国家级景点,北陵公园,泰山路12号
,,110101,风景名胜公园广场公园,南湖公园,文化路1号
,,110105,风景名胜公园广场城市广场,中山广场,中山广场与北四马路交叉口西50米
,,060101,购物服务商场购物中心,兴隆大家庭,中街路115号
,,100103,住宿服务宾馆酒店四星级宾馆,高登大酒店,青年大街52号
,,100103,住宿服务宾馆酒店四星级宾馆,清文化主题酒店,大西路287-1号
,,120203,商务住宅楼宇商住两用楼宇,金科大厦,文化路19号盛京医院对面
,,110202,风景名胜风景名胜国家级景点,沈阳棋盘山国际风景旅游开发区,满堂乡
,,100103,住宿服务宾馆酒店四星级宾馆,荣富饭店,北二东路17号博润国际
,,060101,购物服务商场购物中心,铁西万达广场,兴华南街58-20号
,,060101,购物服务商场购物中心,沈阳百联购物中心,青年大街55号
,,110200,风景名胜风景名胜风景名胜,太清宫,西顺城街16号
,,100102,住宿服务宾馆酒店五星级宾馆,沈阳国际皇冠假日酒店,黄河南大街88号
,,110205,风景名胜风景名胜寺庙道观,慈恩寺暂停营业,大南街慈恩寺巷12号
,,060101,购物服务商场购物中心,万达广场沈阳北一路店,北一中路1号
,,100105,住宿服务宾馆酒店经济型连锁酒店,汉庭快捷酒店五爱店,热闹路58号近五爱市场
哈尔滨
,,080601,体育休闲服务影剧院电影院,万达影城,衡山路17号万达广场4F层
,,110200,风景名胜风景名胜风景名胜,冰雪大世界,松北大道松花江北岸太阳岛西侧
,,080601,体育休闲服务影剧院电影院,七彩国际影城爱建店,上海沙龙步行街爱湖路18号
,,110202,风景名胜风景名胜国家级景点,太阳岛风景区,太阳大道3号
,,060101,购物服务商场购物中心,远大购物中心群力店,群力大道1176号
,,110105,风景名胜公园广场城市广场,母亲广场,进乡街23号
,,110105,风景名胜公园广场城市广场,哈尔滨西站东广场,哈尔滨大街501号哈尔滨西站
,,060102,购物服务商场普通商场,通乡商店,红旗大街38号
,,110202,风景名胜风景名胜国家级景点,龙塔,长江路178号
,,100104,住宿服务宾馆酒店三星级宾馆,龙安宾馆,第四方圆里21号第二方圆里与第四方圆里交汇处
,,110206,风景名胜风景名胜教堂,圣·索菲亚教堂暂停营业,透笼街88号
,,110105,风景名胜公园广场城市广场,激情广场,革新街63号
,,100105,住宿服务宾馆酒店经济型连锁酒店,汉庭酒店西客站店,中兴大道125号
,,100103,住宿服务宾馆酒店四星级宾馆,民航大厦,中山路101号
,,100104,住宿服务宾馆酒店三星级宾馆,果戈里宾馆,果戈里大街84号
,,060602,购物服务家居建材市场家具城,宜家家居哈尔滨商场,复旦街48号
,,100104,住宿服务宾馆酒店三星级宾馆,龙运大厦,宣化街200号龙运大厦2-4层
,,080601,体育休闲服务影剧院电影院,万达影城中央大街悦荟广场店,中央大街232号万达商业广场A座3层
,,080601,体育休闲服务影剧院电影院,万达影城哈尔滨乐松广场店,三大动力路8号乐松广场4层
,,100100,住宿服务宾馆酒店宾馆酒店,维也纳酒店中央大街店,尚志大街29号1-13层
太原
,,060101,购物服务商场购物中心,天美名店,新建路39号1-6层
,,100103,住宿服务宾馆酒店四星级宾馆,锦麟东方酒店,迎泽南街1号
,,060101,购物服务商场购物中心,铜锣湾国际购物中心,五一路77号
,,110101,风景名胜公园广场公园,迎泽公园,迎泽大街218号
,,110202,风景名胜风景名胜国家级景点,森林公园,大同路北36号
,,080101,体育休闲服务运动场馆综合体育馆,山西体育场,体育路25号
,,100103,住宿服务宾馆酒店四星级宾馆,潞安戴斯酒店,双塔西街72号
,,100103,住宿服务宾馆酒店四星级宾馆,三晋国际饭店,迎泽大街108号
,,110105,风景名胜公园广场城市广场,五一广场,迎泽大街30号
,,061000,购物服务特色商业街特色商业街,中正天街,并州北路与邮电后街交叉口东北150米
,,100100,住宿服务宾馆酒店宾馆酒店,金港大酒店,并州北路35号
